date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:08:19	248/248	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2016%20Sep%202021%2007:38:18%20GMT	http://pixel-industry.com/html/trucking	D:/web%20deisgn/virtue%20projects/Logistics/trucking/pixel-industry.com/html/trucking.0.delayed	(from )
13:08:21	69175/69175	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2011:20:54%20GMT	http://pixel-industry.com/html/trucking/	D:/web%20deisgn/virtue%20projects/Logistics/trucking/pixel-industry.com/html/trucking/index.html	(from )
13:08:21	135/135	---MC-	200	added ('OK')	text/plain	date:Thu,%2016%20Sep%202021%2007:38:18%20GMT	http://pixel-industry.com/robots.txt		(from )
13:08:22	36278/36278	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Feb%202021%2011:20:54%20GMT	http://pixel-industry.com/html/trucking/css/bootstrap.css	D:/web%20deisgn/virtue%20projects/Logistics/trucking/pixel-industry.com/html/trucking/css/bootstrap.css	(from http://pixel-industry.com/html/trucking/)
13:08:23	12395/12395	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Feb%202021%2011:20:58%20GMT	http://pixel-industry.com/html/trucking/masterslider/style/masterslider.css	D:/web%20deisgn/virtue%20projects/Logistics/trucking/pixel-industry.com/html/trucking/masterslider/style/masterslider.css	(from http://pixel-industry.com/html/trucking/)
13:08:23	3936/3936	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Feb%202021%2011:20:58%20GMT	http://pixel-industry.com/html/trucking/masterslider/skins/default/style.css	D:/web%20deisgn/virtue%20projects/Logistics/trucking/pixel-industry.com/html/trucking/masterslider/skins/default/style.css	(from http://pixel-industry.com/html/trucking/)
13:08:25	72928/72928	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Feb%202021%2011:20:54%20GMT	http://pixel-industry.com/html/trucking/css/animate.css	D:/web%20deisgn/virtue%20projects/Logistics/trucking/pixel-industry.com/html/trucking/css/animate.css	(from http://pixel-industry.com/html/trucking/)
13:08:26	4180/4180	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Feb%202021%2011:20:58%20GMT	http://pixel-industry.com/html/trucking/owl-carousel/owl.carousel.css	D:/web%20deisgn/virtue%20projects/Logistics/trucking/pixel-industry.com/html/trucking/owl-carousel/owl.carousel.css	(from http://pixel-industry.com/html/trucking/)
13:08:27	79141/79141	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Feb%202021%2011:20:56%20GMT	http://pixel-industry.com/html/trucking/css/style.css	D:/web%20deisgn/virtue%20projects/Logistics/trucking/pixel-industry.com/html/trucking/css/style.css	(from http://pixel-industry.com/html/trucking/)
13:08:28	3873/3873	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Feb%202021%2011:20:56%20GMT	http://pixel-industry.com/html/trucking/css/color-default.css	D:/web%20deisgn/virtue%20projects/Logistics/trucking/pixel-industry.com/html/trucking/css/color-default.css	(from http://pixel-industry.com/html/trucking/)
